[2026-05-16 21:57:39] DITOLAK Skor 30% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '2000000008738', 'tanggal': '', 'aplikasiAsal': 'Bank Mandiri', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 30}
[2026-05-16 21:57:42] DITOLAK Skor 0% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 0}
[2026-05-16 21:57:43] DITOLAK Skor 40% Nominal Rp34327 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': 'Rp34.327', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 40}
[2026-05-16 21:57:45] DITOLAK Skor 60% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '74 BBR 0851', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': 'DANA', 'penerima': '', 'confidence': 60}
[2026-05-16 21:57:47] DITOLAK Skor 70% Nominal Rp2000000 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': 'Rp 2.000.000', 'rrn': '775401022591534', 'tanggal': '1 Mar 2026', 'aplikasiAsal': 'Bank Mandiri', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 70}
[2026-05-16 21:57:48] DITOLAK Skor 0% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 0}
[2026-05-16 21:57:49] DITOLAK Skor 0% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 0}
[2026-05-16 21:57:51] DITOLAK Skor 70% Nominal Rp1 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': 'Rp1', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': 'DANA', 'penerima': '', 'confidence': 70}
[2026-05-16 21:57:51] DITOLAK Skor 60% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '10 Apr 2026', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': 'DANA', 'penerima': '', 'confidence': 60}
[2026-05-16 21:57:52] DITOLAK Skor 30% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '30 Desember 2025', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 30}
[2026-05-16 21:57:53] DITOLAK Skor 0% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 0}
[2026-05-16 21:57:53] DITOLAK Skor 0% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 0}
[2026-05-16 21:57:59] DITOLAK Skor 30% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '0100301147749', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 30}
[2026-05-16 21:58:00] DITOLAK Skor 30% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '02 Apr 2025', 'aplikasiAsal': 'Bank BCA', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 30}
[2026-05-16 21:58:00] DITOLAK Skor 70% Nominal Rp10000000 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': 'Rp 100,000.00', 'rrn': '9897483854729721', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 70}
[2026-05-16 21:58:01] DITOLAK Skor 70% Nominal Rp300000 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': 'Rp300.000', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': 'GoPay', 'penerima': '', 'confidence': 70}
[2026-05-16 21:58:05] DITOLAK Skor 30% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '9897951990764943', 'tanggal': '', 'aplikasiAsal': 'Bank BNI', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 30}
[2026-05-16 21:58:06] DITOLAK Skor 0% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 0}
[2026-05-16 21:58:06] DITOLAK Skor 30% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '1440017132314', 'tanggal': '', 'aplikasiAsal': 'Bank Mandiri', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 30}
[2026-05-16 21:58:06] DITOLAK Skor 70% Nominal Rp43000 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': 'Rp43.000', 'rrn': '', 'tanggal': '8 OKt 2021', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 70}
[2026-05-16 21:58:07] DITOLAK Skor 60% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '620446173745', 'tanggal': '40 Dec 2023', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': 'DANA', 'penerima': '', 'confidence': 60}
[2026-05-16 21:58:07] DITOLAK Skor 70% Nominal Rp2000 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': 'Rp 2.000', 'rrn': '936008480000000001', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 70}
[2026-05-16 21:58:08] DITOLAK Skor 30% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '22/08/2018', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 30}
